	Word1	Word2	Score
0	come	place	0.026119716463412414
1	hotel	room	0.023433800024714284
2	amazing	food	0.02311866930100791
3	amazing	place	0.022258082891314306
4	thank	wonderful	0.02189848682064161
5	hotel	place	0.02180875002181147
6	hotel	staff	0.02103958878127728
7	stay	thank	0.02035624300455971
8	food	staff	0.01903219456011449
9	amazing	hotel	0.01584488360029655
10	place	thank	0.015682969351500417
11	amazing	room	0.014750482642601589
12	come	room	0.014110776940093168
13	beautiful	place	0.013565339944531199
14	fantastic	food	0.012880054257827208
15	stay	wonderful	0.012564111280620769
16	food	room	0.012537312390611274
17	hotel	stay	0.011880317987550511
18	food	place	0.011600239131828212
19	experience	stay	0.011206663481089722
20	nice	room	0.011060294172214833
21	experience	hotel	0.010951745633050583
22	staff	thank	0.010573356501375432
23	amazing	staff	0.010501439156554574
24	fantastic	nice	0.01047990315838564
25	room	staff	0.010300452036863899
26	food	nice	0.010286365119936903
27	food	hotel	0.010113890221829272
28	place	wonderful	0.009960977275648037
29	hotel	thank	0.00966452553531572
30	hotel	time	0.009619951968444734
31	experience	food	0.00958497234080638
32	food	stay	0.009577624955278934
33	hotel	nice	0.009274372565599272
34	experience	nice	0.009158212543412808
35	staff	wonderful	0.008905617699588825
36	room	wonderful	0.008823479340612794
37	fantastic	hotel	0.008664494738996938
38	come	hotel	0.008539953729703273
39	experience	room	0.008369691516901388
40	amazing	come	0.008340349253374903
41	staff	stay	0.008136072865599173
42	amazing	thank	0.008078852838140181
43	fantastic	room	0.007904487134538198
44	experience	staff	0.00783969723808875
45	place	staff	0.00779872079290835
46	experience	fantastic	0.007254105795637424
47	amazing	experience	0.007223130496573438
48	food	thank	0.007007997889875151
49	fantastic	place	0.006960692873423983
